iter	Logloss
0	0.6831930412
1	0.6751386164
2	0.6683265712
3	0.6627026521
4	0.6577272082
5	0.6539283042
6	0.6508761551
7	0.6481277582
8	0.6460053288
9	0.6441892018
10	0.6420923703
11	0.6404678431
12	0.6390222967
13	0.6377246723
14	0.6365387309
15	0.6353877686
16	0.6344133667
17	0.6335819031
18	0.6328333917
19	0.632135683
20	0.6314800448
21	0.6308688412
22	0.630381609
23	0.6298567009
24	0.6294707815
25	0.6291165436
26	0.6287521491
27	0.6284602961
28	0.6281330376
29	0.6276981413
30	0.6273594423
31	0.627050235
32	0.626785513
33	0.6264935619
34	0.6262864388
35	0.626054713
36	0.6258653615
37	0.6256415366
38	0.6253913513
39	0.6252029396
40	0.6250572001
41	0.6248026667
42	0.6246829055
43	0.6245502388
44	0.624346345
45	0.6241484016
46	0.6240041607
47	0.6238162429
48	0.6237075472
49	0.6236208362
50	0.6235148007
51	0.6234043224
52	0.6232115512
53	0.6231251478
54	0.6230260705
55	0.6229313184
56	0.6227292883
57	0.6225217409
58	0.6224319705
59	0.6223268323
60	0.6221545019
61	0.6219897665
62	0.6218716952
63	0.6218014072
64	0.6217298205
65	0.6216088177
66	0.6215348565
67	0.621485149
68	0.6214249952
69	0.6212733605
70	0.621194642
71	0.6211165859
72	0.621070279
73	0.6210002907
74	0.6209019627
75	0.6208626385
76	0.6208237234
77	0.6207334017
78	0.6206823699
79	0.6206478663
80	0.6206006229
81	0.620534405
82	0.6204741496
83	0.6203581216
84	0.6202465654
85	0.6201537342
86	0.6201004552
87	0.6199986716
88	0.6199478308
89	0.6198199874
90	0.6197556316
91	0.6196383198
92	0.6194758997
93	0.6193902005
94	0.6192954624
95	0.6192065422
96	0.6191208355
97	0.6190807156
98	0.6190332031
99	0.618957269
