iter	Passed	Remaining
0	1	185
1	3	174
2	5	170
3	7	168
4	8	169
5	10	164
6	12	160
7	13	156
8	15	155
9	17	153
10	18	151
11	20	148
12	21	146
13	23	144
14	25	142
15	26	140
16	28	139
17	30	138
18	31	135
19	33	133
20	35	132
21	36	130
22	38	128
23	39	126
24	41	123
25	42	121
26	44	119
27	45	118
28	47	116
29	49	114
30	50	113
31	52	111
32	54	109
33	55	108
34	57	106
35	58	104
36	60	102
37	61	101
38	63	99
39	65	98
40	66	96
41	68	94
42	70	92
43	71	91
44	73	89
45	74	87
46	76	86
47	77	84
48	79	82
49	81	81
50	82	79
51	84	77
52	85	76
53	87	74
54	88	72
55	90	70
56	91	69
57	93	67
58	95	66
59	96	64
60	99	63
61	100	61
62	102	60
63	103	58
64	105	56
65	107	55
66	108	53
67	110	51
68	111	50
69	113	48
70	115	47
71	116	45
72	117	43
73	119	42
74	121	40
75	122	38
76	124	37
77	125	35
78	127	33
79	128	32
80	130	30
81	131	28
82	133	27
83	135	25
84	136	24
85	138	22
86	139	20
87	141	19
88	142	17
89	144	16
90	146	14
91	147	12
92	149	11
93	150	9
94	152	8
95	154	6
96	155	4
97	157	3
98	158	1
99	160	0
